date,amount,category,description
21-07-2024,180.0,Expense,Clothes
22-07-2024,50.0,Expense,Fast food
23-07-2024,100.0,Expense,Taxi fare
24-07-2024,500.0,Income,Part-time job
25-07-2024,75.0,Expense,Utilities
26-07-2024,300.0,Income,Freelance project
27-07-2024,60.0,Expense,Internet bill
28-07-2024,45.0,Expense,Snacks
29-07-2024,250.0,Income,Investment returns
30-07-2024,150.0,Expense,Restaurant
31-07-2024,100.0,Expense,Groceries
01-08-2024,200.0,Income,Side hustle
02-08-2024,20.0,Expense,Bus fare
03-08-2024,80.0,Expense,Movie ticket
04-08-2024,120.0,Expense,Gas refill
05-08-2024,300.0,Income,Freelance payment
06-08-2024,60.0,Expense,Taxi fare
07-08-2024,400.0,Income,Project payment
08-08-2024,100.0,Expense,Dinner
09-08-2024,75.0,Expense,Groceries
10-08-2024,150.0,Expense,Coffee
11-08-2024,200.0,Income,Bonus
12-08-2024,50.0,Expense,Movie ticket
13-08-2024,30.0,Expense,Parking fee
14-08-2024,250.0,Income,Part-time job
15-08-2024,100.0,Expense,Stationery
16-08-2024,20.0,Expense,Bus fare
17-08-2024,60.0,Expense,Snacks
18-08-2024,500.0,Income,Project payment
19-08-2024,75.0,Expense,Groceries
20-08-2024,100.0,Expense,Dinner
21-08-2024,180.0,Expense,Clothes
22-08-2024,50.0,Expense,Fast food
23-08-2024,100.0,Expense,Taxi fare
24-08-2024,500.0,Income,Part-time job
25-08-2024,75.0,Expense,Utilities
26-08-2024,300.0,Income,Freelance project
27-08-2024,60.0,Expense,Internet bill
28-08-2024,45.0,Expense,Snacks
29-08-2024,250.0,Income,Investment returns
30-08-2024,150.0,Expense,Restaurant
16-07-2024,100.0,Expense,Chips
02-07-2024,1000.0,Expense,Misc
09-09-2024,120.0,Expense,Snacks
